hash,ad_id,media_type,ending,filepath
7f9a9398628b1066a197272ce79f8099,adid_782967800289645,img,jpg,data/media/waiting_room/782967800289645.jpg
ed260e2f1d13aa33e5661f5b64cb3221,adid_459185823423059,img,jpg,data/media/waiting_room/459185823423059.jpg
38f7bc024efe0665b4039b3c56f410f8,adid_1666245004125410,img,jpg,data/media/waiting_room/1666245004125410.jpg
7d7a9be1d540fdc36259112421ebe6ef,adid_428843679960351,img,jpg,data/media/waiting_room/428843679960351.jpg
0b2a8f8b2f1e51ddf9c3d09ec3a267c6,adid_1382780515752775,img,jpg,data/media/waiting_room/1382780515752775.jpg
3db68382de5d7e1bbabfaddd92888d4f,adid_3746137005653892,img,jpg,data/media/waiting_room/3746137005653892.jpg
f313ec4aed581fbf51b42997afccd2fe,adid_2579504675543832,vid,mp4,data/media/waiting_room/2579504675543832.mp4
005bdfad2a74854145ae8728b9d80565,adid_771161898485832,img,jpg,data/media/waiting_room/771161898485832.jpg
68c26208302f69cedd9bb82537d34339,adid_821861046473754,vid,mp4,data/media/waiting_room/821861046473754.mp4
34d28ba6d7cf7b5889f469184e9390eb,adid_1783471872149505,img,jpg,data/media/waiting_room/1783471872149505.jpg
6b441eb64c6b311f40bed58736b8b0d2,adid_409849758426780,vid,mp4,data/media/waiting_room/409849758426780.mp4
b7621f6daee5b0cd3e6a33aa6ec62d3d,adid_806052524712625,img,jpg,data/media/waiting_room/806052524712625.jpg
708d06787a4717163741540d0c751b58,adid_1420149401962516,vid,mp4,data/media/waiting_room/1420149401962516.mp4
cd198bdc577bcc0c1bfb89a3004e37f4,adid_954219973061749,img,jpg,data/media/waiting_room/954219973061749.jpg
b473ac6114750bc17d17c0271aa321cb,adid_472799905273908,vid,mp4,data/media/waiting_room/472799905273908.mp4
522ca4acaa55c88d7ea49a66c2ae3df0,adid_1850030202145995_1,vid,mp4,data/media/waiting_room/1850030202145995_1.mp4
9750fbeeb95673d81fa8ea60602d75e1,adid_1850030202145995_2,vid,mp4,data/media/waiting_room/1850030202145995_2.mp4
c27a2e7f9163084089623268b4aa3656,adid_432673826270754_1,vid,mp4,data/media/waiting_room/432673826270754_1.mp4
52179373e1d8d6220cdf151740d107b6,adid_432673826270754_2,vid,mp4,data/media/waiting_room/432673826270754_2.mp4
c11c710c9f2a8850aa0039a228a7d807,adid_1475464989725938_1,vid,mp4,data/media/waiting_room/1475464989725938_1.mp4
67e725a34bb6971c3331c8a3391e9303,adid_1475464989725938_2,vid,mp4,data/media/waiting_room/1475464989725938_2.mp4
6e46db3a7c0f5cd9d9dd2301e5f281c4,adid_1640720840014254_1,vid,mp4,data/media/waiting_room/1640720840014254_1.mp4
758fe141f76f26ed7bfa426ff0e06ba2,adid_1640720840014254_2,vid,mp4,data/media/waiting_room/1640720840014254_2.mp4
9c71b6227396bfda8690fab9da345642,adid_1962370837551571_1,vid,mp4,data/media/waiting_room/1962370837551571_1.mp4
