page_name;disclaimer;page_id;page_category;classification
KUHLE Development Centre NPC;These ads ran without a disclaimer;339953329192763;NA;NGO/Civil Society
SubZeero;These ads ran without a disclaimer;340938672425548;NA;Unknown
Public Service And Administration, RSA;These ads ran without a disclaimer;342505102498595;NA;Government Institution
Dr. Jonny Bowden;These ads ran without a disclaimer;356374285450;NA;Unknown
RFO;These ads ran without a disclaimer;357647354929263;NA;Unknown
Ample Insurance Brokers;These ads ran without a disclaimer;360018080767157;NA;Company
Phil's Auto Diagnostics;These ads ran without a disclaimer;386469271951122;NA;Company
constructsteel;These ads ran without a disclaimer;406030503457990;NA;Unknown
Microsoft AI Cloud Partner Program;These ads ran without a disclaimer;40775064593;NA;Company
Ford Sandton;These ads ran without a disclaimer;416692118506215;NA;Company
המחלקה לארגון וקשר עם ישראלים בתפוצות;These ads ran without a disclaimer;426233830761545;NA;Unknown
Education Above All Foundation;These ads ran without a disclaimer;430759586971486;Non-profit organisation;NGO/Civil Society
Apeiron Art;These ads ran without a disclaimer;445713452243348;NA;Unknown
Allwork.Space;These ads ran without a disclaimer;489179047956298;NA;Unknown
Talitha CUMI News Report;These ads ran without a disclaimer;498398820565276;NA;Unknown
Palestinian Rights Institute مؤسسة الحق الفلسطيني;These ads ran without a disclaimer;518828318236401;NA;NGO/Civil Society
Wild Rapids Spur Steak Ranch;These ads ran without a disclaimer;528952187224345;NA;Company
Executive Motor World;Executive Motor World;533764086797191;NA;Company
Ark Designs SA;These ads ran without a disclaimer;537598379621303;NA;Unknown
DHL Africa;These ads ran without a disclaimer;562471887119419;NA;Company
Gigi Lamayne;These ads ran without a disclaimer;566951100002495;NA;Unknown
Elecson;These ads ran without a disclaimer;632166130744961;NA;Unknown
Africans Rising;These ads ran without a disclaimer;668452799962714;NA;Unknown
مهدي القحطاني;These ads ran without a disclaimer;674222436095911;NA;Unknown
Santa Fe Spur Steak Ranch;These ads ran without a disclaimer;683850664994458;NA;Company
CFD Hub;These ads ran without a disclaimer;720580372023023;NA;Unknown
Greenpeace International;These ads ran without a disclaimer;7297163299;NA;NGO/Civil Society
Al Jazeera English;These ads ran without a disclaimer;7382473689;NA;Media Organization
Baboon Matters;These ads ran without a disclaimer;74156619573;NA;Unknown
Calisto's Peri-Peri;These ads ran without a disclaimer;777036609100917;NA;Company
Kevlo Doors and Automation;These ads ran without a disclaimer;777261989128127;NA;Company
Animals Asia;These ads ran without a disclaimer;7783116506;NA;NGO/Civil Society
swissinfo;These ads ran without a disclaimer;81049933496;NA;Media Organization
Johanniter International Assistance;These ads ran without a disclaimer;817471741724983;NA;NGO/Civil Society
Sungrow;These ads ran without a disclaimer;821430017924241;NA;Unknown
Carrick Wealth;These ads ran without a disclaimer;929487433748063;NA;Company
Frontiers;These ads ran without a disclaimer;95775573753;NA;Unknown
