page_name;disclaimer;page_id;page_category;classification
Africa Check;Africa Check;484978191533810;NA;NGO/Civil Society
African Movement Congress;African Movement Congress;213957325134859;NA;AMC
Bill Gates;These ads ran without a disclaimer;216311481960;Public figure;Unknown
Ramoba Blessings Lehlohonolo;Ramoba Blessings Lehlohonolo;127839327089920;NA;Independent
Kagiso Trust;Kagiso Trust;253159094544360;NA;NGO/Civil Society
VF Plus Noord-Kaap;Vryheidsfront Plus / Freedom Front Plus;1782040965354618;NA;Vryheidsfront Plus
South African Institute of Race Relations;South African Institute of Race Relations;86579745433;NA;NGO/Civil Society
Solidariteit;Solidariteit;195909420099;Legal service;NGO/Civil Society
Let Them Live;These ads ran without a disclaimer;160630887998827;NA;Unknown
African National Congress - Northern Cape Province;African National Congress - Northern Cape Province;151042501616806;NA;ANC
AI Chat · Chatbot Assistant;These ads ran without a disclaimer;2012617162329822;NA;Company
Zackie2024;Zackie2024;112933978402440;NA;Independent
Action Society;Action Society;2145594122138312;Charity organisation;NGO/Civil Society
Democratic Alliance - Northern Areas;Democratic Alliance;2215254718532346;Political organisation;DA
ELF South Africa;ELF-SA;305458552922888;NA;ELF-SA
Womankind Worldwide;These ads ran without a disclaimer;164362913586214;NA;NGO/Civil Society
Open Cities Lab;Open Cities Lab;1605752276377449;NA;NGO/Civil Society
Financial Mail;BusinessLIVE;119736861394881;News & media website;Media Organization
The Wall Street Journal;These ads ran without a disclaimer;8304333127;Media/news company;Media Organization
Rasheed Gutta Sun Party;Sun Party;274341479100018;NA;Sun Party
Marwane El Ouakil;These ads ran without a disclaimer;547029012129573;NA;Unknown
Democratic Alliance Eastern Cape;Democratic Alliance;153698181363705;Political organisation;DA
Democratic Alliance Northern Cape;Democratic Alliance;182843381896565;NA;DA
The Daily Friend;The Daily Friend;106172744063430;News & media website;Media Organization
Sunday Times ZA;Sunday Times;478479492268974;NA;Media Organization
Investec;Investec Ltd;188258421272216;NA;Company
