,,,,,,,,Partei,Land,ID
Who Targets Me,,AfD Hamburg,,585678844775646,AfD Hamburg,,,AfD,Hamburg,585678844775646
Who Targets Me,,CDU Hamburg,,173796242642081,CDU Hamburg,,,CDU,Hamburg,173796242642081
Who Targets Me,,GRÜNE Hamburg,,25406037041,GRÜNE Hamburg,,,B90/GRÜNE,Hamburg,25406037041
Who Targets Me,,FDP Hamburg,,189184071108491,FDP Hamburg,,,FDP,Hamburg,189184071108491
,,FW Hamburg,,1925065844440080,,,,Freie Wähler,Hamburg,1925065844440080
,,Volt Hamburg,,1179148932288130,,,,Volt,Hamburg,1179148932288130
,,Linke Hamburg,,130391693652056,,,,LINKE,Hamburg,130391693652056
,,,,,,,,,,
Who Targets Me,,DIE LINKE. Hessen,,558754197477014,DIE LINKE. Hessen,,,LINKE,Hessen,558754197477014
Who Targets Me,,SPD Hessen,,111080175616050,SPD Hessen,,,SPD,Hessen,111080175616050
Who Targets Me,,FREIE WÄHLER Hessen,,256998207759081,FREIE WÄHLER Hessen,,,Freie Wähler,Hessen,256998207759081
Who Targets Me,,AfD Hessen,,222005461272345,AfD Hessen,,,AfD,Hessen,222005461272345
Who Targets Me,,CDU Hessen,,217523541326,CDU Hessen,,,CDU,Hessen,217523541326
Who Targets Me,,BÜNDNIS 90/DIE GRÜNEN Hessen,,22865297210,BÜNDNIS 90/DIE GRÜNEN Hessen,,,B90/GRÜNE,Hessen,22865297210
Who Targets Me,,FDP Hessen,,188188564583,FDP Hessen,,,FDP,Hessen,188188564583
Who Targets Me,,Volt Hessen,,109903507414389,Volt Hessen,,,Volt,Hessen,109903507414389
,,,,,,,,Heimat,Hessen,112387088554807
,,,,,,,,,,
,,,,,,,,,,
Who Targets Me,,DIE LINKE Mecklenburg-Vorpommern,,205311826175998,DIE LINKE Mecklenburg-Vorpommern,,,LINKE,Mecklenburg-Vorpommern,205311826175998
Who Targets Me,,SPD Mecklenburg-Vorpommern,,140300602673724,SPD Mecklenburg-Vorpommern,,,SPD,Mecklenburg-Vorpommern,140300602673724
Who Targets Me,,Freie Wähler Mecklenburg-Vorpommern,,116516342039001,Freie Wähler Mecklenburg-Vorpommern,,,Freie Wähler,Mecklenburg-Vorpommern,116516342039001
Who Targets Me,,Alternative für Deutschland Mecklenburg-Vorpommern - AfD MV,,513381125365479,Alternative für Deutschland Mecklenburg-Vorpommern - AfD MV,,,AfD,Mecklenburg-Vorpommern,513381125365479
Who Targets Me,,CDU Mecklenburg-Vorpommern (CDU MV),,142004422534101,CDU Mecklenburg-Vorpommern (CDU MV),,,CDU,Mecklenburg-Vorpommern,142004422534101
Who Targets Me,,Bündnis 90/Die Grünen Mecklenburg-Vorpommern,,187394117987834,Bündnis 90/Die Grünen Mecklenburg-Vorpommern,,,B90/GRÜNE,Mecklenburg-Vorpommern,187394117987834
,,Volt Mecklenburg-Vorpommern,,100752078468444,,,,Volt,Mecklenburg-Vorpommern,100752078468444
,,FDP Mecklenburg-Vorpommern,,202215676478081,,,,FDP,Mecklenburg-Vorpommern,202215676478081
,,,,,,,,,,
,,,,,,,,,,
Who Targets Me,,DIE LINKE. Niedersachsen,,194593423966954,DIE LINKE. Niedersachsen,,,LINKE,Niedersachsen,194593423966954
Who Targets Me,,SPD Niedersachsen,,76866574484,SPD Niedersachsen,,,SPD,Niedersachsen,76866574484
Who Targets Me,,FREIE WÄHLER Niedersachsen,,273693286086433,FREIE WÄHLER Niedersachsen,,,Freie Wähler,Niedersachsen,273693286086433
Who Targets Me,,AfD  Niedersachsen,,338480852961658,AfD  Niedersachsen,,,AfD,Niedersachsen,338480852961658
Who Targets Me,,CDU in Niedersachsen,,109460782417586,CDU in Niedersachsen,,,CDU,Niedersachsen,109460782417586
Who Targets Me,,GRÜNE Niedersachsen,,351947321504088,GRÜNE Niedersachsen,,,B90/GRÜNE,Niedersachsen,351947321504088
Who Targets Me,,FDP Niedersachsen,,51468018860,FDP Niedersachsen,,,FDP,Niedersachsen,51468018860
,,Volt Niedersachsen,,100935615110463,,,,Volt,Niedersachsen,100935615110463
,,BSW Niedersachsen,,320113161194855,,,,BSW,Niedersachsen,320113161194855
,,,,,,,,,,
Who Targets Me,,DIE LINKE. NRW,,150480805043795,DIE LINKE. NRW,,,LINKE,Nordrhein-Westfalen,150480805043795
Who Targets Me,,NRWSPD,,30774145303,NRWSPD,,,SPD,Nordrhein-Westfalen,30774145303
Who Targets Me,,BÜNDNIS 90/DIE GRÜNEN NRW,,20672124724,BÜNDNIS 90/DIE GRÜNEN NRW,,,B90/GRÜNE,Nordrhein-Westfalen,20672124724
Who Targets Me,,FDP NRW,,282800387209,FDP NRW,,,FDP,Nordrhein-Westfalen,282800387209
Who Targets Me,,Volt NRW,,104467191275254,Volt NRW,,,Volt,Nordrhein-Westfalen,104467191275254
Who Targets Me,,FREIE WÄHLER Nordrhein Westfalen,,195564670530818,FREIE WÄHLER Nordrhein Westfalen,,,Freie Wähler,Nordrhein-Westfalen,195564670530818
Who Targets Me,,CDU Nordrhein-Westfalen,,108185017409,CDU Nordrhein-Westfalen,,,CDU,Nordrhein-Westfalen,108185017409
,,AfD NRW,,459077044164282,,,,AfD,Nordrhein-Westfalen,459077044164282
,,,,,,,,,,
Who Targets Me,,AfD Rheinland-Pfalz,,162707793881819,AfD Rheinland-Pfalz,,,AfD,Rheinland-Pfalz,162707793881819
Who Targets Me,,CDU Rheinland-Pfalz,,178032906642,CDU Rheinland-Pfalz,,,CDU,Rheinland-Pfalz,178032906642
Who Targets Me,,BÜNDNIS 90/DIE GRÜNEN Rheinland-Pfalz,,88331883353,BÜNDNIS 90/DIE GRÜNEN Rheinland-Pfalz,,,B90/GRÜNE,Rheinland-Pfalz,88331883353
Who Targets Me,,FDP Rheinland-Pfalz,,189449641081486,FDP Rheinland-Pfalz,,,FDP,Rheinland-Pfalz,189449641081486
Who Targets Me,,DIE LINKE. Rheinland-Pfalz,,154654377881669,DIE LINKE. Rheinland-Pfalz,,,LINKE,Rheinland-Pfalz,154654377881669
Who Targets Me,,SPD Rheinland-Pfalz,,330165526782,SPD Rheinland-Pfalz,,,SPD,Rheinland-Pfalz,330165526782
,,Volt Rheinland-Pfalz,,105244217494187,,,,Volt,Rheinland-Pfalz,105244217494187
,,Freie Wähler RLP,,499359010093513,,,,Freie Wähler,Rheinland-Pfalz,499359010093513
,,,,,,,,,,
Who Targets Me,,Bündnis 90/Die Grünen Saarland,,167231359972727,Bündnis 90/Die Grünen Saarland,,,B90/GRÜNE,Saarland,167231359972727
Who Targets Me,,Freie Wähler Saarland,,192845187848390,Freie Wähler Saarland,,,Freie Wähler,Saarland,192845187848390
Who Targets Me,,AfD Saarland,,1389842358009230,AfD Saarland,,,AfD,Saarland,1389842358009230
,,Linke Saarland,,115707626621,,,,LINKE,Saarland,115707626621
,,SPD Saarland,,214065808453,,,,SPD,Saarland,214065808453
,,CDU Saarland,,334120300419,,,,CDU,Saarland,334120300419
,,FDP Saarland,,189006054445407,,,,FDP,Saarland,189006054445407
,,BSW Saarland,,358718334000015,,,,BSW,Saarland,358718334000015
,,,,,,,,,,
Who Targets Me,,AfD Sachsen,,312639988865192,AfD Sachsen,,,AfD,Sachsen,312639988865192
Who Targets Me,,BÜNDNIS 90/DIE GRÜNEN Sachsen,,86337829141,BÜNDNIS 90/DIE GRÜNEN Sachsen,,,B90/GRÜNE,Sachsen,86337829141
Who Targets Me,,FDP Sachsen,,66426617453,FDP Sachsen,,,FDP,Sachsen,66426617453
,,Volt Sachsen,,102026331696494,,,,Volt,Sachsen,102026331696494
,,FW Sachsen,,177407194382621,,,,Freie Wähler,Sachsen,177407194382621
,,Die Linke Sachsen,,142603625775614,,,,LINKE,Sachsen,142603625775614
,,SPD Sachsen,,50169278122,,,,SPD,Sachsen,50169278122
,,CDU Sachsen,,242877865923318,,,,CDU,Sachsen,242877865923318
,,BSW Sachsen,,386287537891336,,,,BSW,Sachsen,386287537891336
,,,,,,,,,,
,,,,,,,,,,
Who Targets Me,,FREIE WÄHLER Sachsen-Anhalt,,188344874511758,FREIE WÄHLER Sachsen-Anhalt,,,Freie Wähler,Sachsen-Anhalt,188344874511758
Who Targets Me,,AfD Sachsen-Anhalt,,363842953730453,AfD Sachsen-Anhalt,,,AfD,Sachsen-Anhalt,363842953730453
Who Targets Me,,CDU Sachsen-Anhalt,,171337982904329,CDU Sachsen-Anhalt,,,CDU,Sachsen-Anhalt,171337982904329
Who Targets Me,,BÜNDNIS 90/DIE GRÜNEN Sachsen-Anhalt,,106637900016,BÜNDNIS 90/DIE GRÜNEN Sachsen-Anhalt,,,B90/GRÜNE,Sachsen-Anhalt,106637900016
Who Targets Me,,FDP Sachsen-Anhalt,,194789640569324,FDP Sachsen-Anhalt,,,FDP,Sachsen-Anhalt,194789640569324
,,BSW Sachsen-Anhalt,,244663365404847,,,,BSW,Sachsen-Anhalt,244663365404847
,,Volt Sachsen-Anhalt,,101851171870892,,,,Volt,Sachsen-Anhalt,101851171870892
,,Die Linke Sachsen-Anhalt,,331788763571422,,,,LINKE,Sachsen-Anhalt,331788763571422
,,SPD Sachsen-Anhalt,,107652469330889,,,,SPD,Sachsen-Anhalt,107652469330889
,,,,,,,,,,
,,,,,,,,,,
Who Targets Me,,DIE LINKE. Schleswig-Holstein,,166174613410024,DIE LINKE. Schleswig-Holstein,,,LINKE,Schleswig-Holstein,166174613410024
Who Targets Me,,SPD Schleswig-Holstein,,165381593630826,SPD Schleswig-Holstein,,,SPD,Schleswig-Holstein,165381593630826
Who Targets Me,,Freie Wähler Schleswig-Holstein,,151013658351935,Freie Wähler Schleswig-Holstein,,,Freie Wähler,Schleswig-Holstein,151013658351935
Who Targets Me,,AfD Schleswig-Holstein,,910790398984963,AfD Schleswig-Holstein,,,AfD,Schleswig-Holstein,910790398984963
Who Targets Me,,CDU Schleswig-Holstein,,275335619167195,CDU Schleswig-Holstein,,,CDU,Schleswig-Holstein,275335619167195
Who Targets Me,,BÜNDNIS 90/DIE GRÜNEN Schleswig-Holstein,,1608463192727450,BÜNDNIS 90/DIE GRÜNEN Schleswig-Holstein,,,B90/GRÜNE,Schleswig-Holstein,1608463192727450
Who Targets Me,,FDP Schleswig-Holstein,,164131966966839,FDP Schleswig-Holstein,,,FDP,Schleswig-Holstein,164131966966839
,,Volt Schleswig-Holstein,,105330431358412,,,,Volt,Schleswig-Holstein,105330431358412
,,,,,,,,,,
,,,,,,,,,,
Who Targets Me,,DIE LINKE Thüringen,,134080283313500,DIE LINKE Thüringen,,,LINKE,Thüringen,134080283313500
Who Targets Me,,SPD Thüringen,,87921510981,SPD Thüringen,,,SPD,Thüringen,87921510981
Who Targets Me,,AfD Thüringen,,166760213476486,AfD Thüringen,,,AfD,Thüringen,166760213476486
Who Targets Me,,CDU Thüringen,,129459503748982,CDU Thüringen,,,CDU,Thüringen,129459503748982
Who Targets Me,,Bündnis 90 / Die Grünen Thüringen,,445962318752667,Bündnis 90 / Die Grünen Thüringen,,,B90/GRÜNE,Thüringen,445962318752667
Who Targets Me,,FDP Thüringen,,217013861665887,FDP Thüringen,,,FDP,Thüringen,217013861665887
Who Targets Me,,Volt Thüringen,,488816678526827,Volt Thüringen,,,Volt,Thüringen,488816678526827
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Who Targets Me,,,DIE LINKE,47694585682,DIE LINKE,,,LINKE,Bund,47694585682
Who Targets Me,,,AfD,540404695989874,AfD,,,AfD,Bund,540404695989874
Who Targets Me,,,BÜNDNIS 90/DIE GRÜNEN,47217143218,BÜNDNIS 90/DIE GRÜNEN,,,B90/GRÜNE,Bund,47217143218
Who Targets Me,,,CDU,78502295414,CDU,,,CDU,Bund,78502295414
Who Targets Me,,,CSU,81386795687,CSU,,,CSU,Bund,81386795687
Who Targets Me,,,FDP,21289227249,FDP,,,FDP,Bund,21289227249
Who Targets Me,,,SPD,47930567748,SPD,,,SPD,Bund,47930567748
Who Targets Me,,,Volt Deutschland,134209407129787,Volt Deutschland,,,Volt,Bund,134209407129787
Who Targets Me,,,Bündnis Sahra Wagenknecht - Vernunft und Gerechtigkeit,164629470060120,Bündnis Sahra Wagenknecht - Vernunft und Gerechtigkeit,,,BSW,Bund,164629470060120
