,,,,,,,,Partei,Land,ID
Who Targets Me,,DIE LINKE. Baden-Württemberg,,167785411957,DIE LINKE. Baden-Württemberg,,,LINKE,Baden-Württemberg,167785411957
Who Targets Me,,SPD Baden-Württemberg,,179057176050,SPD Baden-Württemberg,,,SPD,Baden-Württemberg,179057176050
Who Targets Me,,AfD Baden-Württemberg,,570893299597210,AfD Baden-Württemberg,,,AfD,Baden-Württemberg,570893299597210
Who Targets Me,,BÜNDNIS 90/DIE GRÜNEN Baden-Württemberg,,108655285842827,BÜNDNIS 90/DIE GRÜNEN Baden-Württemberg,,,B90/GRÜNE,Baden-Württemberg,108655285842827
Who Targets Me,,CDU Baden-Württemberg,,77094470902,CDU Baden-Württemberg,,,CDU,Baden-Württemberg,77094470902
Who Targets Me,,NPD Baden-Württemberg,,253878324478237,NPD Baden-Württemberg,,,NPD ,Baden-Württemberg,253878324478237
Who Targets Me,,FDP Baden-Württemberg,,241400009229424,FDP Baden-Württemberg,,,FDP,Baden-Württemberg,241400009229424
,,FW BaWü,,219603204762238,,,,Freie Wähler,Baden-Württemberg,219603204762238
,,,,,,,,Volt,Baden-Württemberg,106989417710646
,,,,,,,,Heimat,Baden-Württemberg,106716192446240
,,,,,,,,,,
Who Targets Me,,DIE LINKE. Bayern,,395274800547275,DIE LINKE. Bayern,,,LINKE,Bayern,395274800547275
Who Targets Me,,BayernSPD,,305250279569563,BayernSPD,,,SPD,Bayern,305250279569563
Who Targets Me,,AfD Bayern,,345598788891061,AfD Bayern,,,AfD,Bayern,345598788891061
Who Targets Me,,GRÜNE Bayern,,258191139993,GRÜNE Bayern,,,B90/GRÜNE,Bayern,258191139993
Who Targets Me,,FDP Bayern,,350558562311,FDP Bayern,,,FDP,Bayern,350558562311
Who Targets Me,,Volt Bayern,,2124429831016390,Volt Bayern,,,Volt,Bayern,2124429831016390
Who Targets Me,,CSU,,,CSU,,,CSU,Bayern,81386795687
,,FW Bayern,,276040002549416,,,,Freie Wähler,Bayern,276040002549416
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Who Targets Me,,DIE LINKE. Brandenburg,,293150187371037,DIE LINKE. Brandenburg,,,LINKE,Brandenburg,293150187371037
Who Targets Me,,SPD BRANDENBURG,,139470429458087,SPD BRANDENBURG,,,SPD,Brandenburg,139470429458087
Who Targets Me,,Freie Wähler Brandenburg,,690975797779447,Freie Wähler Brandenburg,,,Freie Wähler,Brandenburg,690975797779447
Who Targets Me,,AfD Brandenburg,,115602575294020,AfD Brandenburg,,,AfD,Brandenburg,115602575294020
Who Targets Me,,CDU Brandenburg,,168325299887228,CDU Brandenburg,,,CDU,Brandenburg,168325299887228
Who Targets Me,,FDP Brandenburg,,210778952288250,FDP Brandenburg,,,FDP,Brandenburg,210778952288250
,,Grüne Brandenburg,,118849647749,,,,B90/GRÜNE,Brandenburg,118849647749
,,,,,,,,,,
,,,,,,,,,,
Who Targets Me,,FREIE Wähler Bremen,,329900923869212,FREIE Wähler Bremen,,,Freie Wähler,Bremen,329900923869212
Who Targets Me,,SPD Bremen-Stadt,,145515688966492,SPD Bremen-Stadt,,,SPD,Bremen,145515688966492
Who Targets Me,,DIE LINKE Land Bremen,,196114277078358,DIE LINKE Land Bremen,,,LINKE,Bremen,196114277078358
Who Targets Me,,FDP Bremen,,152934608113175,FDP Bremen,,,FDP,Bremen,152934608113175
Who Targets Me,,Grüne Bremen,,207429192606075,Grüne Bremen,,,B90/GRÜNE,Bremen,207429192606075
Who Targets Me,,CDU Bremen,,112326918787579,CDU Bremen,,,CDU,Bremen,112326918787579
Who Targets Me,,FREIE Wähler Bremen,,329900923869212,FREIE Wähler Bremen,,,Freie Wähler,Bremen,329900923869212
,,Afd Bremen,,159841780842315,,,,AfD,Bremen,159841780842315
,,Volt Bremen,,2314697952137400,,,,Volt,Bremen,2314697952137400
,,,,,,,,,,
Who Targets Me,,SPD Hamburg,,130273271119,SPD Hamburg,,,SPD,Hamburg,130273271119
